date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-07,21.6,15.1,28.9,,,154,9.8,22.2,1011.1,
2024-08-08,20.1,16.7,22.7,,,287,12.4,31.5,1014.5,
2024-08-09,19.1,14.2,23.1,,,218,12.8,35.2,1014.7,
2024-08-10,20.1,14.7,25.3,,,269,12.3,33.3,1018.1,
2024-08-11,20.2,16.7,24.6,,,298,11.4,33.3,1020.4,
2024-08-12,20.4,13.2,26.9,,,65,7.6,22.2,1016.8,
2024-08-13,22.5,14.6,29.9,,,103,14,29.6,1013.2,
2024-08-14,24.5,17.2,31.8,,,120,14.9,33.3,1011.7,
2024-08-15,23.6,20,27.6,,,260,10.2,27.8,1014.2,
2024-08-16,23,17.1,28.7,,,252,11.1,33.3,1014.9,
2024-08-17,22.3,18.7,26.6,,,298,8.8,25.9,1012.4,
2024-08-18,20.2,17.9,22.7,,,4,11.6,29.6,1009.6,
2024-08-19,18.7,15.8,22.3,,,335,11.4,27.8,1016.1,
2024-08-20,19.7,12.5,26.9,,,136,10.2,25.9,1014.5,
2024-08-21,19.5,15.3,21.4,,,256,16.9,48.2,1011.4,
2024-08-22,17.4,12.5,22.4,,,225,12.1,33.3,1013.2,
2024-08-23,21.2,14.3,28.7,,,211,15.9,46.3,1008.9,
2024-08-24,24.1,17.1,31.4,,,187,14.1,38.9,1011.3,
2024-08-25,20.3,14.5,22.3,,,268,15,38.9,1015.4,
2024-08-26,17.9,11.8,24.6,,,187,8.5,24.1,1022,
2024-08-27,19.2,11.9,26.5,,,119,9.9,25.9,1023,
2024-08-28,21.8,15,29,,,109,13.4,31.5,1020.4,
2024-08-29,24.2,18.9,30.4,,,136,12.3,29.6,1016.6,
2024-08-30,21.6,18.3,26,,,163,11.5,27.8,1016.4,
2024-08-31,19.4,15.4,23.9,,,265,11.7,29.6,1018.8,
2024-09-01,18.9,14.5,23.9,,,261,11.7,29.6,1019.3,
2024-09-02,18.6,14,23.9,,,269,11.7,29.6,1019.6,
2024-09-03,18.7,14.4,23.2,,,269,12.2,29.6,1018.7,
2024-09-04,25.3,18.5,32.8,,,112,14.5,38.9,1014.1,
2024-09-05,24.7,18.9,31.1,,,94,19.9,51.8,1014.7,
2024-09-06,23.2,17.8,29.2,,,96,17,40.8,1015,
2024-09-07,23.1,16,30.1,,,117,13,31.5,1013.8,
2024-09-08,24.5,18.8,31.2,,,126,12.8,27.8,1009,
2024-09-09,18.5,15.4,22.6,,,264,13.7,38.9,1000.6,
2024-09-10,16,14.2,18.1,,,252,14.3,35.2,1007,
2024-09-11,14.3,11.2,15.4,,,222,14.8,37,1004.2,
2024-09-12,11.4,8.7,14.7,,,257,8.7,22.2,1011.6,
2024-09-13,10.8,8.3,13.2,,,335,12.7,35.2,1017.4,
2024-09-14,12.8,10.7,15.7,,,336,20.6,48.2,1022.4,
2024-09-15,12.7,8.1,16.5,,,335,19.1,44.5,1021.9,
2024-09-16,15.2,12.7,18.1,,,355,18.1,38.9,1019.5,
2024-09-17,18.6,13.7,24.5,,,39,14.2,31.5,1025.1,
2024-09-18,19.2,13.8,25.3,,,60,13.7,31.5,1028.3,
2024-09-19,18.2,14.5,22.9,,,72,14.8,35.2,1026.7,
2024-09-20,17.1,12.5,22.8,,,92,15.8,40.8,1026.4,
2024-09-21,16,10.1,23.2,,,103,13.5,31.5,1024,
2024-09-22,16.4,10.5,24,,,113,10.8,27.8,1017.6,
2024-09-23,16.7,10.4,24.2,,,148,8.1,18.5,1010,
2024-09-24,14.8,13.1,16.9,,,207,9.8,25.9,1004.7,
2024-09-25,14.9,12.6,17.6,,,206,14.2,31.5,1005.3,
2024-09-26,15.9,13.5,18.6,,,187,17.7,40.8,996.6,
2024-09-27,16.5,13.8,19.6,,,217,21.2,50,997.5,
2024-09-28,12.5,8.3,14.9,,,269,19.5,44.5,1011.5,
2024-09-29,9.4,5.8,14.1,,,282,11,27.8,1026.8,
2024-09-30,9.7,5.6,14.6,,,115,16.1,42.6,1022.5,
2024-10-01,9.7,8.1,12.1,,,113,15.8,38.9,1012.1,
2024-10-02,9.7,9.1,10.5,,,53,12.5,25.9,1010.3,
2024-10-03,10.5,8.6,12.1,,,346,14.2,33.3,1015,
2024-10-04,11.1,9.3,13.6,,,15,13.7,31.5,1018.7,
2024-10-05,9.9,7.2,13.4,,,43,9.9,24.1,1019.5,
2024-10-06,9.2,5.9,12.5,,,102,8.2,22.2,1014.3,
2024-10-07,10.7,6.3,15.1,,,148,11.8,24.1,1007.6,
2024-10-08,15.4,11.9,20,,,169,9.6,24.1,1002.9,
2024-10-09,16.1,13.5,19.2,,,208,13.2,35.2,996.8,
2024-10-10,15.2,10.4,17.9,,,223,19.4,50,991.6,
2024-10-11,9.1,5.7,12,,,269,13.2,33.3,1012.8,
2024-10-12,8.1,3.1,13.4,,,164,12.8,35.2,1017.5,
2024-10-13,10.3,8.8,12.2,,,242,22.2,59.3,1007.2,
2024-10-14,9.2,7.2,11.4,,,273,15,46.3,1017.4,
2024-10-15,8.1,4.8,12.2,,,320,8.4,20.4,1023.9,
2024-10-16,8.2,3.5,13.9,,,114,18.8,42.6,1023.5,
2024-10-17,11,6.9,15.9,,,132,18.2,38.9,1017.9,
2024-10-18,12.6,9.6,16.5,,,126,13.4,27.8,1016.4,
2024-10-19,13.3,10.3,18.1,,,158,13.4,29.6,1017.4,
2024-10-20,13.1,10.6,16.6,,,159,11.9,24.1,1022.2,
2024-10-21,14.7,12.6,17.5,,,196,11.3,24.1,1023.4,
2024-10-22,13.3,8.6,16.2,,,231,12.7,37,1025,
2024-10-23,9.6,6.7,14,,,243,9,20.4,1034.3,
2024-10-24,9.1,4.8,14.3,,,121,12.1,29.6,1031,
2024-10-25,11.5,7.9,17.1,,,153,10.6,25.9,1022.1,
